Id,Name,Image,Year,painter_id
30,The Man of Matthew,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168618/paintings_image/Andrei%20Rublev_paintings/rublev_andrei_1_Late_14th_or_early_15th_century_The_Man_of_Matthew_giztq1.jpg,Late 14th or early 15th century,8
31,The Saviour,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168617/paintings_image/Andrei%20Rublev_paintings/c._1410_The_Saviour_rublev_andrei_5_gv3e52.jpg,c. 1410,8
32,The Old Testament Trinity Icon,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168618/paintings_image/Andrei%20Rublev_paintings/1411_or_1425-27_The_Old_Testament_Trinity_Icon_rublev_andrei_6_w2cmup.jpg,1411 or 1425-27,8
33,The Courtesan (after Eisen),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168573/paintings_image/Vincent%20van%20Gogh_paintings/1887_van_gogh_vincent_the_courtesan_after_eisen_cjjgf6.jpg,1887,9
34,Café Terrace at Night,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168573/paintings_image/Vincent%20van%20Gogh_paintings/1888_van_gogh_vincent_caf%C3%A9_terrace_at_night_mla4ue.jpg,1888,9
35,Starry Night,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168570/paintings_image/Vincent%20van%20Gogh_paintings/1889_van_gogh_vincent_starry_night_fu6quk.jpg,1889,9
36,Church at Auvers,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168573/paintings_image/Vincent%20van%20Gogh_paintings/1890_van_gogh_vincent_church_at_auvers_lfk0yl.jpg,1890,9
37,The Auditorium of the Old Burgtheater,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168599/paintings_image/Gustav%20Klimt_paintings/1888-89_The_Auditorium_of_the_Old_Burgtheater_klimt_gustav_1_puf7pw.jpg,1888-89,10
38,Pallas Athene,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168599/paintings_image/Gustav%20Klimt_paintings/1898_Pallas_Athene_klimt_gustav_2_o9pr8x.jpg,1898,10
39,Medicine,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168599/paintings_image/Gustav%20Klimt_paintings/1900-1901_Medicine_klimt_gustav_3_r5pggm.jpg,1900-1901,10
40,Adele Bloch-Bauer I,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168598/paintings_image/Gustav%20Klimt_paintings/1903-1907_Adele_Bloch-Bauer_I_klimt_gustav_5_al8rsh.jpg,1903-1907,10
41,The Kiss,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168599/paintings_image/Gustav%20Klimt_paintings/1907-08_The_Kiss_klimt_gustav_6_pyzqmk.jpg,1907-08,10
42,The Park,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168599/paintings_image/Gustav%20Klimt_paintings/1909-10_The_Park_klimt_gustav_7_kl5dup.jpg,1909-10,10
43,The Last Judgment,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168588/paintings_image/Hieronymus%20Bosch_paintings/c.1482-1505_The_Last_Judgment_bosch_hieronymus_3_en9wp5.jpg,1482-1505,11
44,The Adoration,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168588/paintings_image/Hieronymus%20Bosch_paintings/c.1485-1500_The_Adoration_of_Maggi_bosch_hieronymus_4_jecdry.jpg,1485-1500,11
45,The Garden of Early Delights,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168587/paintings_image/Hieronymus%20Bosch_paintings/c.1490-1510_The_Garden_of_Earthly_Delights_bosch_hieronymus_1_nnxrdp.jpg,1490-1510,11
46,The Seven Deadly Sins and the Four  Last Things,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168589/paintings_image/Hieronymus%20Bosch_paintings/c.1500_The_Seven_Deadly_Sins_and_the_Four_Last_Things_bosch_hieronymus_2_inj3gi.jpg,1500,11
47,The Temptation of St. Anthony,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168588/paintings_image/Hieronymus%20Bosch_paintings/c._1500_1525_The_Temptation_of_StAnthony_bosch_hieronymus_7_dfr0mr.jpg,1500-1525,11
48,The Haywain Triptych,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168588/paintings_image/Hieronymus%20Bosch_paintings/c.1516_The_Haywain_Triptych_bosch_hieronymus_6_tywolg.jpg,1516,11
49,,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/1912-13_The_Reaper_malevich_kasimir_1_lqv2y5.jpg,,12
50,Woman with Pails - Dynamic Arrangement,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/1912-13_Woman_With_Pails-Dynamic_Arrangement_malevich_kasimir_2_f6dzwp.jpg,1912-13,12
51,Black Square,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/c.1915_Black_Square_malevich_kasimir_3_zoemxi.jpg,c.1915,12
52,Airplane Flying,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/1915_Airplane_Flying_malevich_kasimir_4_nihnkg.jpg,1915,12
53,White on White,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/1917-18_White_on_White_malevich_kasimir_5_qpkeb8.jpg,1917-18,12
54,Self-Portrait,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168601/paintings_image/Kazimir%20Malevich_paintings/1933_Self-Portrait_malevich_kasimir_6_kvzufu.jpg,1933,12
55,The Virgin and Child,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168604/paintings_image/Mikhail%20Vrubel_paintings/1884_The_Virgin_and_Child_vrubel_mikhail_1_e7nacs.jpg,1884,13
56,Demon Seated,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168605/paintings_image/Mikhail%20Vrubel_paintings/1890_Demon_Seated_vrubel_mikhail_2_los2hv.jpg,1890,13
57,Portrait of Savva Mamontov,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168605/paintings_image/Mikhail%20Vrubel_paintings/1897_Portrait_of_Savva_Mamontov_vrubel_mikhail_3_yhldjs.jpg,1897,13
58,The Swan Princess,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168605/paintings_image/Mikhail%20Vrubel_paintings/1900_The_Swan_Princess_vrubel_mikhail_4_jfvpyy.jpg,1900,13
59,"The City of Ledenets, from The Tale of Tsar Saltan",https://res.cloudinary.com/interactive-gallery/image/upload/v1601168605/paintings_image/Mikhail%20Vrubel_paintings/1900_The_City_of_Ledenets_from_The_Tale_of_Tsar_Saltan_vrubel_mikhail_5_kiq5xf.jpg,1900,13
60,The demon Downcast,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168604/paintings_image/Mikhail%20Vrubel_paintings/1902_The_Demon_Downcast_vrubel_mikhail_6_khicgz.jpg,1902,13
61,The Six-Winged Seraph,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168605/paintings_image/Mikhail%20Vrubel_paintings/1904_The_Six-Winged_Seraph_vrubel_mikhail_7_ggfrpz.jpg,1904,13
62,The Soup,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168577/paintings_image/Pablo%20Picasso_paintings/1902-03_The_Soup_picasso_pablo_1_h3bxpf.jpg,1902-03,14
63,Portrait of Gertrude Stein,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168578/paintings_image/Pablo%20Picasso_paintings/1905_Portrait_of_Gertrude_Stein_picasso_pablo_2_f6x7ed.jpg,1905,14
64,Les Demoiselles d'Avignon,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168577/paintings_image/Pablo%20Picasso_paintings/1907_Les_Demoiselles_d_Avignon_picasso_pablo_3_t6e3ua.jpg,1907,14
65,Ma Jolie,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168579/paintings_image/Pablo%20Picasso_paintings/1911-12_Ma_Jolie_picasso_pablo_7_uiwqmv.jpg,1911-12,14
66,Maquette for Guitar,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168578/paintings_image/Pablo%20Picasso_paintings/1912_Maquette_for_Guitar_picasso_pablo_5_zvyj7d.jpg,1912,14
67,The Three Musicians,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168578/paintings_image/Pablo%20Picasso_paintings/1921_The_Three_Musicians_picasso_pablo_8_arfjct.jpg,1921,14
68,Guernica,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168578/paintings_image/Pablo%20Picasso_paintings/1937_Guernica_picasso_pablo_11_coy4ln.jpg,1937,14
69,Equestrian Portrait of the Duke of Lerma,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168615/paintings_image/Peter%20Paul%20Rubens_paintings/1603_equestrian_portrait_of_the_duke_of_lerma_srltqx.jpg,1603,15
70,The Honeysuckle Bower (self-portrait),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168615/paintings_image/Peter%20Paul%20Rubens_paintings/1609_self_portrait_in_the_honeysuckle_bower_lyq2vr.jpg,c.1609,15
71,Return of the Peasants,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168615/paintings_image/Peter%20Paul%20Rubens_paintings/1640_return_of_the_peasants_mbmgsg.jpg,1640,15
72,La Grenouillere,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Pierre-Auguste%20Renoir_paintings/1869_la_grenouillere_mramkr.jpg,1869,16
73,La Loge,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Pierre-Auguste%20Renoir_paintings/1874_la_loge_kmfgsu.jpg,1874,16
74,Dance at le Moulin de la Galette,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Pierre-Auguste%20Renoir_paintings/1876_dance_at_the_moulin_de_la_galette_cxhnps.jpg,1876,16
75,The Umbrellas,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Pierre-Auguste%20Renoir_paintings/1881_the_umbrellas_ynqcrh.jpg,1881,16
76,The Black Duchess,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168613/paintings_image/Francisco%20Goya_paintings/1797_The_Black_Duchess_goya_francisco_2_pksxp2.jpg,1797,17
77,The Nude Maja,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168613/paintings_image/Francisco%20Goya_paintings/c.1797-1800_The_Nude_Maja_goya_francisco_4_grihtg.jpg,1797-1800,17
78,Charles IV of Spain and His Family,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168613/paintings_image/Francisco%20Goya_paintings/1800_Charles_IV_of_Spain_and_His_Family_goya_francisco_1_o9zzrq.jpg,1800,17
79,"The Third of May, 1808",https://res.cloudinary.com/interactive-gallery/image/upload/v1601168613/paintings_image/Francisco%20Goya_paintings/1814_The_Third_of_May_1808_goya_francisco_6_ig6gol.jpg,1814,17
80,Frida and Diego Rivera,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168609/paintings_image/Frida%20Kahlo_paintings/Frieda_and_Diego_Rivera_Frida_Kahlo_1931_ofcpez.png,1931,18
81,Self-Portrait,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168608/paintings_image/Frida%20Kahlo_paintings/Self_portrait_Frida_Kahlo_1940_dp5gxi.jpg,1940,18
82,The Broken Column,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168610/paintings_image/Frida%20Kahlo_paintings/The_Broken_Column_Frida_Kalho_1944_bfcmcr.png,1944,18
83,The Wounded Deer,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168608/paintings_image/Frida%20Kahlo_paintings/The_Wounded_Deer_Frida_Kalho_1946_om5c6m.jpg,1946,18
84,Weeping Coconuts (Cocos Gimientes),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168612/paintings_image/Frida%20Kahlo_paintings/Weeping_Coconuts___Cocos_gimientes__Frida_Kalho_1951_tvya6q.png,1951,18
85,The Holy Trinity,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168575/paintings_image/El%20Greco_paintings/1577-1579_The_Holy_Trinity_el_greco_1_hiuyfg.jpg,1577-1579,19
86,The Nobleman With his Hand on his Chest (El caballero de la mano en el pecho),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168574/paintings_image/El%20Greco_paintings/c._1580_The_Nobleman_With_his_Hand_on_his_Chest_El_caballero_de_la_mano_en_el_pecho_el_greco_2_ar5kms.jpg,c.1580,19
87,The Burial of the Count of Orgaz (El entierro del conde de Orgaz),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168574/paintings_image/El%20Greco_paintings/1586-1588_The_Burial_of_the_Count_of_Orgaz_El_entierro_del_conde_de_Orgaz_el_greco_3_qyqicd.jpg,1586-1588,19
88,Madonna and Child with Saint Martina and Saint Agnes,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168573/paintings_image/El%20Greco_paintings/1597-1599_Madonna_and_Child_with_Saint_Martina_and_Saint_Agnes_el_greco_4_cjh489.jpg,1597-1599,19
89,View of Toledo,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168576/paintings_image/El%20Greco_paintings/c.1599_View_of_Toledo_el_greco_5_oqrs9d.jpg,c.1599,19
91,Christ blessing (The Saviour of the World),https://res.cloudinary.com/interactive-gallery/image/upload/v1601168576/paintings_image/El%20Greco_paintings/1600_Christ_blessing_The_Saviour_of_the_World_el_greco_7_oed2gy.jpg,1600,19
92,Self-Portrait with Fur-Trimmed Robedurer ,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168564/paintings_image/Albrecht%20D%C3%BCrer_paintings/1500_Self-Portrait_with_Fur-Trimmed_Robedurer_albrecht_2_pkhnu4.jpg,1500,20
93,The Feast of the Rosarydurer,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168564/paintings_image/Albrecht%20D%C3%BCrer_paintings/1506_The_Feast_of_the_Rosarydurer_albrecht_5_carwt9.jpg,1506,20
